"","sex","age","race","juv_fel_count","juv_misd_count","juv_other_count","priors_count","c_charge_degree","two_year_recid"
"1","Male",69,"Non-White",0,0,0,0,"F",0
"2","Male",34,"Non-White",0,0,0,0,"F",1
"3","Male",24,"Non-White",0,0,1,4,"F",1
"4","Male",23,"Non-White",0,1,0,1,"F",0
"5","Male",43,"Non-White",0,0,0,2,"F",0
"6","Male",44,"Non-White",0,0,0,0,"M",0
"7","Male",41,"White",0,0,0,14,"F",1
"8","Male",43,"Non-White",0,0,0,3,"F",0
"9","Female",39,"White",0,0,0,0,"M",0
"10","Male",21,"White",0,0,0,1,"F",1
"11","Male",27,"White",0,0,0,0,"F",0
"12","Male",23,"Non-White",0,0,0,3,"M",1
"13","Female",37,"White",0,0,0,0,"M",0
"14","Male",41,"Non-White",0,0,0,0,"F",0
"15","Female",47,"White",0,0,0,1,"F",1
"16","Male",31,"Non-White",0,0,0,7,"F",1
"17","Male",37,"Non-White",0,0,0,0,"M",0
"18","Male",25,"Non-White",0,0,0,3,"F",0
"19","Male",31,"White",0,0,0,6,"F",1
"20","Male",31,"White",0,0,0,5,"F",1
"21","Male",64,"Non-White",0,0,0,13,"F",1
"22","Male",21,"Non-White",0,0,0,1,"F",1
"23","Male",27,"White",0,0,0,0,"M",1
"24","Female",21,"White",0,0,0,0,"F",0
"25","Male",24,"Non-White",0,0,0,1,"F",1
"26","Male",43,"White",0,0,0,1,"M",0
"27","Male",32,"Non-White",0,0,0,0,"M",0
"28","Male",27,"Non-White",0,0,0,8,"F",1
"29","Female",36,"White",0,0,0,3,"F",0
"30","Male",26,"Non-White",0,0,1,5,"F",1
"31","Male",33,"Non-White",0,0,0,0,"F",1
"32","Male",30,"White",0,0,0,9,"F",1
"33","Male",32,"Non-White",0,0,0,4,"F",1
"34","Male",55,"White",0,0,0,0,"F",0
"35","Male",49,"Non-White",0,0,0,7,"F",1
"36","Male",26,"White",0,0,2,6,"M",0
"37","Female",33,"White",0,0,0,4,"M",1
"38","Male",24,"White",0,0,0,1,"M",1
"39","Male",34,"Non-White",2,1,3,21,"F",1
"40","Male",29,"White",0,0,0,0,"M",0
"41","Female",21,"Non-White",0,0,0,2,"F",0
"42","Male",51,"Non-White",0,0,0,2,"M",0
"43","Male",29,"White",0,0,0,2,"M",1
